data,IBCR_NE_ajuste_sazonal,credito_PF_brasil,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_nordeste,credito_total_nordeste,ibc_br,inadimplencia_PF,inadimplencia_PJ,ipca_mensal,pib_trimestral_indice,selic_mensal,credito_PF_brasil_real,credito_PF_nordeste_real,credito_PJ_brasil_real,credito_PJ_nordeste_real,credito_total_nordeste_real
2019-09-01,97.43,3368801.0,307198.0,1941277.0,138445.0,170008.0,97.30916,3.54,3.9,-0.04,,5.71,4770636.661294138,435030.1609018273,2749087.0567680015,196055.1521365812,240752.24316108128
2019-10-01,98.09,3380309.0,310925.0,1964732.0,137143.0,172438.0,98.49866,3.53,3.89,0.1,172.02,5.38,4782151.253807082,439868.1832311682,2779522.699609679,194017.34261597524,243949.47263814806
2019-11-01,98.58,3423121.0,315317.0,1987974.0,138442.0,175645.0,98.0823,3.54,3.85,0.51,,4.9,4818145.205693496,443818.10979619366,2798132.8726455546,194861.25631159957,247225.5916907507
2019-12-01,99.16,3475872.0,319437.0,2017046.0,141079.0,177154.0,97.79923,3.51,3.72,1.15,,4.59,4836770.950242965,444505.3218394584,2806774.673550629,196315.28689472086,246514.6360163269
2020-01-01,99.86,3465268.0,321943.0,2033634.0,138812.0,177072.0,97.93784,3.57,3.8,0.21,168.1,4.4,4811910.182848297,447053.67665552255,2823927.0823458717,192755.9069894559,245884.1740082769
2020-02-01,99.54,3484672.0,322579.0,2042663.0,138566.0,178824.0,98.07742,3.66,3.84,0.25,,4.19,4826787.826278764,446819.7839604925,2829391.3750246963,191934.47243704522,247697.77650420865
2020-03-01,94.13,3583416.0,323368.0,2049113.0,142185.0,181976.0,91.44603,3.94,3.87,0.07,,3.95,4960090.855749638,447599.3465012293,2836340.144068595,196809.5577864145,251887.4430336573
2020-04-01,84.65,3584113.0,319501.0,2029785.0,142660.0,184462.0,83.18811,4.07,4.03,-0.31,153.16,3.65,4976482.725287858,443621.9525478678,2818323.5262248754,198081.09442686822,256122.4929214143
2020-05-01,86.03,3596014.0,317949.0,2027853.0,143663.0,186124.0,85.81248,3.98,4.06,-0.38,,3.01,5012052.871529646,443150.9995372597,2826381.224236059,200234.63526075357,259415.93349207868
2020-06-01,88.98,3623049.0,319273.0,2041232.0,146794.0,187719.0,89.62007,3.62,3.7,0.26,,2.58,5036638.457438516,443842.37426039984,2837650.71677312,204067.98409881553,260960.51546415762
2020-07-01,91.64,3670324.0,322698.0,2060528.0,146750.0,190800.0,91.97711,3.46,3.56,0.36,165.3,2.15,5084055.939630592,446994.51154909295,2854200.2333241277,203275.02671175337,264292.1642017209
2020-08-01,94.1,3742022.0,328462.0,2092254.0,150098.0,195294.0,93.73536,3.3,3.35,0.24,,1.94,5170960.203219046,453889.3491993725,2891207.526044973,207414.81065123947,269869.47215368063
2020-09-01,95.45,3820914.0,331665.0,2123244.0,154513.0,201047.0,95.63693,3.14,3.2,0.64,,1.9,5246401.139177505,455400.8893749786,2915373.0600457904,212157.92326593422,276052.59103665245
2020-10-01,97.06,3878657.0,337787.0,2159264.0,158314.0,201875.0,97.51671,3.06,3.11,0.86,171.63,1.9,5280276.22803137,459852.1256811397,2939551.078954372,215523.47907137917,274825.9935162694
2020-11-01,97.9,3957260.0,345416.0,2205910.0,161964.0,205453.0,97.4991,2.97,3.0,0.89,,1.9,5339759.906993417,466089.79648394044,2976562.0091770184,218547.39733459055,277229.6215491321
2020-12-01,98.7,4020169.0,350806.0,2239719.0,165334.0,209442.0,97.67943,2.84,2.89,1.35,,1.9,5352389.404002741,467057.55834159843,2981926.4422823056,220123.0718712047,278847.765243984
2021-01-01,96.69,4017481.0,353655.0,2253131.0,164484.0,210031.0,97.93998,2.88,2.94,0.25,173.16,1.9,5335471.963420705,469676.48066625564,2992302.211364299,218445.28211366557,278934.6139905115
2021-02-01,96.96,4044845.0,356391.0,2270532.0,164316.0,211945.0,98.85452,2.92,2.9,0.86,,1.9,5326009.426173602,469274.30480115715,2989700.4296651175,216361.45881267186,279076.4708735104
2021-03-01,96.43,4106449.0,360172.0,2297064.0,167097.0,216145.0,95.30889,2.87,2.89,0.93,,2.23,5357302.9629422,469882.9871669703,2996766.2506627655,217995.95056428385,281984.32488145883
2021-04-01,96.01,4126914.0,365444.0,2322034.0,167077.0,218093.0,96.45734,2.91,2.93,0.31,171.96,2.65,5367362.92437966,475287.48516130954,3019980.3535399577,217296.24007589702,283646.39589454327
2021-05-01,94.24,4175472.0,372088.0,2360682.0,167745.0,220964.0,97.25997,2.97,2.98,0.83,,3.29,5385814.009527621,479944.965066731,3044971.7271819045,216369.1604274225,285014.7257127484
2021-06-01,95.97,4212400.0,378079.0,2398138.0,170157.0,224841.0,96.80299,2.87,2.9,0.53,,3.76,5404800.86608651,485101.53514602635,3076977.100796451,218323.21265090737,288486.57096471294
2021-07-01,96.04,4269669.0,385066.0,2439145.0,174045.0,228332.0,96.48058,2.9,2.96,0.96,172.18,4.15,5426189.538812811,489368.40325385734,3099833.51933079,221188.37743222617,290180.03732284793
2021-08-01,95.2,4344165.0,394005.0,2495958.0,175665.0,232452.0,97.07685,2.92,2.98,0.87,,5.01,5473246.939895294,496409.9339121431,3144676.7067105365,221321.6863762557,292868.0650188335
2021-09-01,96.57,4439121.0,402186.0,2547929.0,179253.0,237560.0,96.9934,2.97,3.0,1.16,,5.43,5528749.244360166,500906.7208558265,3173344.5728182117,223252.50613788018,295871.5634221732
2021-10-01,98.09,4509925.0,410353.0,2602076.0,181127.0,241789.0,97.47908,2.95,3.02,1.25,174.46,6.3,5547587.970152288,504768.7858037332,3200772.8543206337,222801.4803505099,297420.85460737185
2021-11-01,98.62,4595047.0,420359.0,2665388.0,183466.0,245995.0,98.95021,2.97,3.07,0.95,,7.65,5599103.72121714,512211.00483784295,3247797.872206206,223554.8762214671,299746.9927730468
2021-12-01,98.9,4679575.0,426369.0,2708971.0,185895.0,252908.0,99.13496,3.0,3.07,0.73,,8.76,5660778.125436181,515769.12616297405,3276982.1574055287,224873.05997402733,305937.20031152695
2022-01-01,98.31,4679385.0,431806.0,2735580.0,185292.0,251460.0,97.59851,3.21,3.26,0.54,175.72,9.15,5630145.5009436235,519540.625142078,3291396.931321393,222939.74959548016,302551.8070573983
2022-02-01,100.89,4723686.0,435866.0,2755932.0,186020.0,253105.0,98.58788,3.33,3.26,1.01,,10.49,5626618.757609835,519181.8023899913,3282728.5060643717,221577.73003764043,301486.0303256477
2022-03-01,105.43,4790359.0,442384.0,2800311.0,189204.0,255706.0,99.53411,3.39,3.41,1.62,,11.15,5615072.13548736,518545.28472405515,3282415.4237289405,221777.55536124753,299728.60812246654
2022-04-01,103.59,4828886.0,450056.0,2830339.0,190729.0,259983.0,99.71472,3.48,3.52,1.06,177.74,11.65,5600862.837381575,522004.85270114103,3282815.233636025,221220.1671588334,301545.5579301259
2022-05-01,99.72,4883798.0,457905.0,2875462.0,191845.0,261234.0,99.71896,3.59,3.65,0.47,,12.51,5638054.567135365,528624.1111045377,3319550.002216347,221473.65194712888,301579.128946578
2022-06-01,99.51,4961785.0,464396.0,2914335.0,197348.0,264130.0,99.54987,3.52,3.62,0.67,,12.89,5689963.170945988,532549.5031998834,3342034.936580057,226310.25968675566,302893.00571104226
2022-07-01,98.65,4997242.0,471180.0,2955620.0,200582.0,266271.0,101.43668,3.65,3.8,-0.68,179.56,13.15,5769858.784273477,544028.498514576,3412584.38554194,231593.7100238777,307438.7969098321
2022-08-01,99.82,5068741.0,478519.0,3009898.0,203961.0,271641.0,101.06191,3.72,3.92,-0.36,,13.58,5873556.952380474,554498.3654316036,3487810.3505103304,236345.97813628154,314772.2253122786
2022-09-01,100.2,5160236.0,484856.0,3055514.0,207925.0,276340.0,101.08936,3.74,3.98,-0.29,,13.65,5996970.766382058,563475.6352044634,3550967.074814235,241640.13944323274,321148.6648250231
2022-10-01,98.69,5211491.0,492578.0,3111431.0,208546.0,279773.0,101.38469,3.83,4.13,0.59,180.3,13.65,6021012.813851935,569092.1177493271,3594742.06525851,240940.28719949158,323231.26298592804
2022-11-01,97.81,5278400.0,501820.0,3156588.0,211139.0,283042.0,100.4906,3.85,4.16,0.41,,13.65,6073414.059722798,577402.3650064592,3632022.192321966,242940.0142383699,325672.79143150576
