ano,elemento,cod,regiao,empenhado,pago
2023,obras,04,LITORAL LESTE,10407771.4,7655764.96
2023,obras,05,LITORAL NORTE,21066046.94,16466044.1
2023,obras,06,LITORAL OESTE / VALE DO CURU,31814421.41,29500137.97
2023,obras,07,MACIÇO DO BATURITÉ,11494100.5,8500630.17
2023,obras,08,SERRA DA IBIAPABA,13266247.15,10518319.01
2023,obras,09,SERTÃO CENTRAL,78772927.33,73359607.62
2023,obras,10,SERTÃO DE CANINDÉ,19475858.49,19187409.57
2023,obras,11,SERTÃO DE SOBRAL,16916903.65,10834464.31
2023,obras,12,SERTÃO DOS CRATEÚS,60248877.75,50889856.13
2023,obras,13,SERTÃO DOS INHAMUNS,21224683.4,19841703.61
2023,obras,14,VALE DO JAGUARIBE,42307492.72,36724337.48
2023,obras,15,ESTADO DO CEARÁ,5928508.06,2207982.76
2024,obras,01,CARIRI,326183714.36,304622065.69
2024,obras,02,CENTRO SUL,21687617.7,14541493.59
2024,obras,03,GRANDE FORTALEZA,655525670.98,561652135.24
2024,obras,04,LITORAL LESTE,15416955.55,10794639.94
2024,obras,05,LITORAL NORTE,19992178.28,18195996.66
2024,obras,06,LITORAL OESTE / VALE DO CURU,43565104.78,42430391.46
2024,obras,07,MACIÇO DO BATURITÉ,16269939.49,15200162.31
2024,obras,08,SERRA DA IBIAPABA,7143916.46,5479437.05
2024,obras,09,SERTÃO CENTRAL,342040315.97,333500230.75
2024,obras,10,SERTÃO DE CANINDÉ,22472044.32,20002352.4
2024,obras,11,SERTÃO DE SOBRAL,35149704.43,33882712.49
2024,obras,12,SERTÃO DOS CRATEÚS,37284429.95,36270883.56
2024,obras,13,SERTÃO DOS INHAMUNS,27727082.81,26608042.06
2024,obras,14,VALE DO JAGUARIBE,34775918.66,34067006.69
2024,obras,15,ESTADO DO CEARÁ,37875370.93,30280024.85
2025,obras,01,CARIRI,510503609.16,484979864.29
2025,obras,02,CENTRO SUL,46085351.74,39669453.96
2025,obras,03,GRANDE FORTALEZA,792016631.33,710103994.2
2025,obras,04,LITORAL LESTE,16267650.54,11949028.57
2025,obras,05,LITORAL NORTE,114789895.57,106852540.05
2025,obras,06,LITORAL OESTE / VALE DO CURU,81539839.26,68409242.22
2025,obras,07,MACIÇO DO BATURITÉ,170398227.2,162798405.23
2025,obras,08,SERRA DA IBIAPABA,20600808.88,16667269.24
2025,obras,09,SERTÃO CENTRAL,271228392.03,260772661.75
2025,obras,10,SERTÃO DE CANINDÉ,22213373.48,21031187.62
2025,obras,11,SERTÃO DE SOBRAL,54675114.02,45362958.53
2025,obras,12,SERTÃO DOS CRATEÚS,77152369.35,67435598.03
2025,obras,13,SERTÃO DOS INHAMUNS,12173952.16,10714585.88
2025,obras,14,VALE DO JAGUARIBE,376087898.41,367696084.89
2025,obras,15,ESTADO DO CEARÁ,15116299.24,1931172.3
