cod_ibge,regiao_codigo,regiao_nome,ano,mes,fpm_dest,fundeb_dest,itr_dest,outros_dest,royalties_dest,total
2312007,11,Sertão de Sobral,2015,2,1599743.82,2626864.04,6.93,223.23,20571.55,4247409.57
2312106,1,Cariri,2015,2,1199807.85,1659416.48,42.68,150.36,16138.96,2875556.33
2312205,12,Sertão dos Crateús,2015,2,1799711.7799999998,3535298.95,20.74,275.2,25046.51,5360353.180000001
2312304,8,Serra da Ibiapaba,2015,2,1999679.76,3935432.72,125.86,298.5,29892.64,5965429.4799999995
2312403,3,Grande Fortaleza,2015,2,1999679.76,3867074.28,422.53,300.21,26629.42,5894106.2
2312502,14,Vale do Jaguaribe,2015,2,599903.95,583562.28,0.0,72.6,6935.72,1190474.55
2312601,3,Grande Fortaleza,2015,2,799871.91,1069571.61,0.0,103.23,11736.93,1881283.68
2312700,9,Sertão Central,2015,2,1399775.84,1678030.11,152.0,193.63,16183.34,3094334.92
2312809,11,Sertão de Sobral,2015,2,599903.95,714672.91,0.0,70.81,8387.460000000001,1323035.13
2312908,11,Sertão de Sobral,2015,2,6519248.300000001,13196653.37,2499.31,1132.46,118913.42,19838446.860000003
2313005,9,Sertão Central,2015,2,1199807.85,1266094.35,15.61,152.04,13871.43,2479941.2800000003
2313104,14,Vale do Jaguaribe,2015,2,1399775.84,1879468.74,263.84,203.35,16183.34,3295895.11
