ano,mes,indice,indice_dessaz,fbcf_r$_2010_milhoes
2016,1,141.221074379144,148.05885794021,54739.286271213285
2016,2,133.373801925493,138.790459231988,51697.572453519475
2016,3,147.155825895359,145.194048427803,57039.679917294954
2016,4,139.488214419848,143.035735658464,54067.60523637592
2016,5,140.769875617792,141.567710785992,54564.39524824489
2016,6,155.208572262356,158.313156355545,60161.03833062268
2016,7,141.057270595498,141.841667375035,54675.79360735468
2016,8,147.062675230419,137.428863461329,57003.57340177012
2016,9,142.350130074081,136.708287463635,55176.924231220386
2016,10,143.234351122545,136.063780282965,55519.6608186008
2016,11,136.8570506315,132.099642941335,53047.72892917442
2016,12,130.919880645957,139.998353575701,50746.39785016734
2017,1,131.018327285476,135.906136688224,50784.55717635491
2017,2,127.842033492314,138.310152558882,49553.380766994516
2017,3,140.562679122206,135.509568452895,54484.082972524906
2017,4,125.966629689488,135.122544294278,48826.447721621036
2017,5,138.851212821048,135.713038881811,53820.69442202707
2017,6,137.363682089467,138.866258023912,53244.10646632101
2017,7,135.013206038596,134.385790284362,52333.02869674286
2017,8,147.729638913253,136.859594547751,57262.09797874619
2017,9,143.648963748151,140.016930367887,55680.3705553094
2017,10,147.600444420337,138.675654499851,57212.020365573284
2017,11,145.86069194868,141.034803829792,56537.66769522466
2017,12,133.799446530983,144.274974770357,51862.55834049714
2018,1,132.100532526729,133.633947883784,51204.035218469624
2018,2,138.571699985022,146.771488688649,53712.35127216914
2018,3,142.137277488253,143.258786227567,55094.41955423819
2018,4,141.702387026239,146.581222130583,54925.849858815985
2018,5,134.130704233021,132.080250451162,51990.95849243509
2018,6,142.230374540734,147.930787418255,55130.50528881317
2018,7,163.35765921257,160.654154719389,63319.739712894196
2018,8,160.735794099348,148.640168173624,62303.46770378376
2018,9,141.602505288076,139.765546106987,54887.1342840885
2018,10,155.251782810356,144.501077621374,60177.787346490615
2018,11,159.133919695226,154.897126498286,61682.55852321228
2018,12,130.901363194415,141.743996180339,50739.22022075347
2019,1,143.116116513723,146.538375659131,55473.83140701694
2019,2,141.923745458883,142.448859822318,55011.65151783264
2019,3,139.972206827398,147.05687581855,54255.20753608933
2019,4,145.217463489468,152.011133767931,56288.34322231586
2019,5,156.892749711074,152.109781079102,60813.849330664845
2019,6,146.852958599458,154.799557252967,56922.28426409843
2019,7,161.427853070681,157.070012322518,62571.7195504043
2019,8,165.618325291167,156.919556754625,64196.00586516563
2019,9,161.30048673815,157.421546422856,62522.35055807926
2019,10,165.785350808489,154.113994474557,64260.747318569316
2019,11,151.897719571935,149.374850234255,58877.70498465057
2019,12,131.979322219581,140.944974191186,51157.05238773282
2020,1,159.750000120113,165.69446227804,61921.35999345847
2020,2,152.630123971482,159.872307032688,59161.59527498126
