ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes,uf_nome
2021,CE,K,769,2773.579005968549,8655,Ceará
2021,CE,L,572,1443.3499918115351,4796,Ceará
2021,CE,M,3922,1674.460932675431,24732,Ceará
2021,CE,N,14964,1493.4877080081403,134088,Ceará
2021,CE,O,-264,2137.7425874819623,2342,Ceará
2021,CE,P,1948,1249.7555793881777,28414,Ceará
2021,CE,Q,7759,1810.3987885168708,42373,Ceará
2021,CE,R,1043,2315.8218307185266,6307,Ceará
2021,CE,S,3791,1546.652322276899,21033,Ceará
2021,CE,T,3,1212.442727272727,41,Ceará
2021,MA,A,3765,1431.380387623798,26339,Maranhão
2021,MA,B,280,2739.590517837154,946,Maranhão
2021,MA,C,1365,1470.7024095955735,25413,Maranhão
2021,MA,D,72,6070.050770040748,634,Maranhão
2021,MA,E,382,1370.4784863725272,1796,Maranhão
2021,MA,F,6551,1550.7034660906866,65615,Maranhão
2021,MA,G,10162,1176.6086387754335,110732,Maranhão
2021,MA,H,1421,1682.335830503576,19395,Maranhão
2021,MA,I,2070,1257.6126110535513,13420,Maranhão
2021,MA,J,570,1479.770001713331,6720,Maranhão
2021,MA,K,293,2440.7928904827204,1861,Maranhão
2021,MA,L,283,1348.799175566848,1349,Maranhão
2021,MA,M,1686,1776.0177646439845,7830,Maranhão
2021,MA,N,4421,1350.549788293652,38159,Maranhão
2021,MA,O,290,2583.040323884634,906,Maranhão
2021,MA,P,772,1088.0538243610083,10512,Maranhão
2021,MA,Q,4177,1589.7892666190685,23139,Maranhão
2021,MA,R,130,1055.900961365077,1230,Maranhão
2021,MA,S,2170,1622.775086761364,7888,Maranhão
2021,MA,T,-8,1045.4566269841268,28,Maranhão
2021,PB,A,2027,962.995254476524,12077,Paraíba
2021,PB,B,119,1623.7999652988549,681,Paraíba
2021,PB,C,3087,1058.9697086648828,44917,Paraíba
2021,PB,D,67,2824.771570667071,537,Paraíba
2021,PB,E,-220,1179.4013661482563,1708,Paraíba
2021,PB,F,5809,1415.0528319197483,48017,Paraíba
2021,PB,G,9492,1197.926305803432,77418,Paraíba
2021,PB,H,62,1482.0067555060443,7182,Paraíba
2021,PB,I,1972,1100.9885152944414,16194,Paraíba
2021,PB,J,1092,2189.0706556999926,6838,Paraíba
2021,PB,K,171,2538.8980465283375,1805,Paraíba
2021,PB,L,131,1435.5577909358592,1151,Paraíba
2021,PB,M,1753,1460.1790707629534,7149,Paraíba
2021,PB,N,8135,1088.389950722101,43503,Paraíba
2021,PB,O,-30,2472.5977777777775,42,Paraíba
2021,PB,P,507,956.7146130783376,10691,Paraíba
