uf,uf_nome,ano_bim,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,rais_vinculos_ativos,credito_PF_nordeste_real,credito_PJ_nordeste_real,credito_total_nordeste_real,IBCR_NE_ajuste_sazonal,ibc_br,selic_mensal,ipca_mensal,inadimplencia_PF,inadimplencia_PJ,resultado_primario_real,dcl_real,investimento_publico_real,transferencias_federais_real,rais_remuneracao_media_real,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_total_nordeste,pib_trimestral_indice,resultado_primario_nominal,dcl_nominal,ano,investimento_publico_nominal,transferencias_federais_nominal
CE,Ceará,2015,3,83594,84051,-457,167645,1110.0302141143434,,382916.26661837305,290586.2207566146,242457.18555862745,101.87,97.92509,13.365,0.765,3.76,4.635,,13022681214.256754,3714789066.8584,12376695265.677528,,3109967.0,5341507.07328451,222944.0,1469882.0,2524587.9135995917,169187.0,141165.0,,,7582150182.0,2015.0,2254572108.43,7206040040.239999
CE,Ceará,2015,4,42611,41740,871,84351,1104.1210655475336,,386035.2429442638,290178.33751299203,240468.32255355536,100.74,97.38494,13.92,0.42,3.835,4.84,,12914027238.124975,3714789066.8584,10237685958.45402,,3143987.0,5354883.875908807,226651.0,1486592.0,2531984.874891348,170371.0,141185.0,166.95,,7582150182.0,2015.0,2254572108.43,6010802906.16
CE,Ceará,2015,5,73790,80085,-6295,153875,1095.6335420555806,,383584.5601030859,282952.1081041643,237974.15727586017,99.79,97.2129,14.15,0.6799999999999999,4.015000000000001,4.97,,15743984194.147932,3714789066.8584,10424991582.19266,,3166774.0,5321092.545440522,228285.0,1496614.0,2514742.6367659713,168395.0,141627.0,165.67,,9369812567.0,2015.0,2254572108.43,6204288313.119999
CE,Ceará,2015,6,24823,34943,-10120,59766,1114.4459224308134,,383275.8709000191,283722.048971054,238435.86046511072,98.87,95.70125,14.15,0.985,4.215,5.25,,15438351761.852608,3714789066.8584,11384927470.727709,,3229576.0,5321272.968174295,232617.0,1518662.0,2502252.6326655606,172196.0,144711.0,,,9369812567.0,2015.0,2254572108.43,6909716667.630003
CE,Ceará,2016,1,64901,77218,-12317,142119,1147.5594422138142,2099010.0,376267.36491359206,272079.3032488385,230986.51134218535,96.58,95.22152,14.15,1.085,4.3,5.455,,12497433872.679531,3066227328.2255874,14010047180.708742,,3192287.0,5147542.983727597,233345.0,1522813.0,2455526.515529203,168732.0,143248.0,163.3,,7750376405.06,2016.0,1977965814.72,8688434778.64
CE,Ceará,2016,2,33873,36139,-2266,70012,1184.5354082157344,2099010.0,373572.11154157226,263932.082410598,230762.2353080362,95.74,94.43174,14.15,0.52,4.275,5.58,,12368477283.769182,3066227328.2255874,11262314070.555729,,3150823.0,5028256.779275196,234089.0,1526375.0,2435873.2437417707,165386.0,144601.0,163.75,,7750376405.06,2016.0,1977965814.72,7057228730.440001
CE,Ceará,2016,3,33915,35841,-1926,69756,1233.2368828487872,2099010.0,373626.3998721669,256636.4826084246,226725.8568684735,96.01,94.35527,14.15,0.565,4.1850000000000005,5.705,,12029137291.8914,3066227328.2255874,12651051757.843763,,3140231.0,4955224.17188037,236775.0,1536798.0,2425037.7112057707,162636.0,143681.0,,,7623120270.04,2016.0,1977965814.72,8017240700.84
CE,Ceará,2016,4,66973,71244,-4271,138217,1199.7280387832266,2099010.0,373425.62854301714,250092.40776679857,225157.25038362268,95.38,93.79533,14.15,0.48,4.109999999999999,5.73,,11914485626.44638,3066227328.2255874,10566117787.144444,,3125535.0,4885026.145895989,238925.0,1546795.0,2417549.0011601807,160014.0,144060.0,162.86,,7623120270.04,2016.0,1977965814.72,6760408229.46
CE,Ceará,2016,5,61598,62741,-1143,124339,1182.7950637581448,2099010.0,371343.30792738264,245591.78869888335,223607.23558003287,96.34,93.59054,14.1,0.17,4.18,5.779999999999999,,12110755563.951426,3066227328.2255874,10077741767.290876,,3105525.0,4837294.836645756,238401.0,1547944.0,2411141.9224178772,157669.0,143555.0,162.7,,7775059293.02,2016.0,1977965814.72,6469872120.42
CE,Ceará,2016,6,54345,61716,-7371,116061,1191.9948247556922,2099010.0,375633.2911733524,241321.53199376888,227431.8092005616,95.69,93.2166,13.775,0.24,4.02,5.68,,12052836861.696234,3066227328.2255874,16866544272.670914,,3117809.0,4833203.429929342,242314.0,1569164.0,2432505.912620576,155672.0,146712.0,,,7775059293.02,2016.0,1977965814.72,10880291776.38
