ano_bim,bimestre,uf,transferencias_federais_nominal,transferencias_federais_real
2022,1,CE,4434242241.55,5281847813.781676
2022,1,MA,4340095272.13,5169704647.595209
2022,1,PB,2800991473.08,3336401099.1283355
2022,1,PE,4754327309.77,5663117154.901615
2022,1,PI,2678792219.1499996,3190843453.186487
2022,1,RN,2462675454.0,2933415960.201782
2022,1,SE,2296651224.65,2735656193.130384
2022,2,AL,1953433679.3000002,2265722176.850091
2022,2,BA,6197240856.71,7187971720.32013
2022,2,CE,3983622106.0099993,4620469609.70359
2022,2,MA,3358986872.73,3895976162.354218
2022,2,PB,2434772113.3700004,2824010475.1421
2022,2,PE,4319343082.75,5009861105.45489
2022,2,PI,2288384828.04,2654220774.9358883
2022,2,RN,2156368123.9700003,2501099029.7260695
2022,2,SE,1836403709.1299999,2129983041.4087017
2022,3,AL,2565447507.89,2941945658.0422707
2022,3,BA,6568553730.97,7532536942.974991
2022,3,CE,4414012028.610001,5061800517.133147
2022,3,MA,4138164627.24,4745470495.861275
2022,3,PB,2654742276.0999994,3044345085.35987
2022,3,PE,4765874207.2699995,5465301039.188055
2022,3,PI,2712438223.61,3110508334.360933
2022,3,RN,3025192199.53,3469161239.4246807
2022,3,SE,2405536425.43,2758566456.8428016
2022,4,AL,2014727621.1300006,2334626572.208185
2022,4,BA,5615040135.469999,6506597599.992821
2022,4,CE,4745199134.78,5498643029.603777
2022,4,MA,3333721421.34,3863050534.957551
2022,4,PB,2296838050.15,2661530565.0753403
2022,4,PE,7691976457.209999,8913310385.713675
2022,4,PI,2130866000.9,2469205432.705552
2022,4,RN,2041008463.1299999,2365080292.815237
2022,4,SE,1867923168.3000004,2164512471.9690804
2022,5,AL,1831548802.18,2116050628.7204454
2022,5,BA,13215758627.880001,15268615458.270914
2022,5,CE,3382807233.7700005,3908272258.6147013
2022,5,MA,3474444693.25,4014144132.471514
2022,5,PB,2088018262.1500008,2412358519.272508
2022,5,PE,3986277503.1000004,4605481986.965879
2022,5,PI,2021580936.3,2335601216.9456096
2022,5,RN,1839406082.6399999,2125128412.09025
2022,5,SE,1692932902.2199998,1955902964.67137
2022,6,AL,3003682633.069999,3434791051.812599
2022,6,BA,6560869128.829999,7502528505.412053
2022,6,CE,5958061605.1,6813202054.71547
2022,6,MA,4235397048.5099998,4843289275.2809725
2022,6,PB,2807656782.339999,3210630273.107699
2022,6,PE,5673905791.940001,6488262317.868194
2022,6,PI,2610222940.2799997,2984859418.834872
2022,6,RN,2527635421.270001,2890418392.288398
2022,6,SE,2289296555.3299994,2617871554.2780313
2023,1,AL,2774896613.4,3130145796.31746
2023,1,BA,7009427224.5,7906791573.931377
2023,1,CE,4899903829.89,5527201734.805364
2023,1,MA,4652586541.25,5248222270.253493
2023,1,PB,3033561008.0499997,3421925051.6817336
2023,1,PE,5536062014.36,6244802476.1432085
2023,1,PI,3277872317.37,3697513703.9464436
2023,1,RN,2556263074.97,2883522247.192811
2023,1,SE,2526115803.7400002,2849515447.1357083
2023,2,AL,2073586300.7599998,2308480071.7033195
2023,2,BA,5506519866.46,6130292899.553934
2023,2,CE,3788689629.24,4217868580.5186887
2023,2,MA,3506901381.0099998,3904159642.8965964
2023,2,PB,2361698893.34,2629229769.043594
2023,2,PE,4352934611.250001,4846030666.683746
2023,2,PI,2388664286.3300004,2659249774.634993
2023,2,RN,2106223972.5400002,2344814906.121984
