uf,ano,investimento_publico_nominal,investimento_publico_real,ano_bim,bimestre
PB,2019,455063270.42,633232986.395936,2019,5
PE,2019,646706650.03,899909990.4122038,2019,5
PI,2019,559043470.49,777924278.566369,2019,5
RN,2019,483413831.41,672683567.3780675,2019,5
SE,2019,205631587.68,286141978.111669,2019,5
AL,2019,724364185.79,1007972575.2920331,2019,6
BA,2019,2232101993.62,3106030970.277566,2019,6
CE,2019,1843176072.89,2564829914.777432,2019,6
MA,2019,917371897.92,1276548085.3232543,2019,6
PB,2019,455063270.42,633232986.395936,2019,6
PE,2019,646706650.03,899909990.4122038,2019,6
PI,2019,559043470.49,777924278.566369,2019,6
RN,2019,483413831.41,672683567.3780675,2019,6
SE,2019,205631587.68,286141978.111669,2019,6
AL,2020,811871413.48,1080912755.3899052,2020,1
BA,2020,2222298703.45,2958733335.0599957,2020,1
CE,2020,1820672781.84,2424014937.102547,2020,1
MA,2020,1009221633.73,1343661716.3772933,2020,1
PB,2020,360201006.25,479565921.02561486,2020,1
PE,2020,690348237.12,919118720.9873663,2020,1
PI,2020,739845167.83,985018151.4498324,2020,1
RN,2020,379326758.44,505029644.90521747,2020,1
SE,2020,282282032.74,375825832.44085777,2020,1
AL,2020,811871413.48,1080912755.3899052,2020,2
BA,2020,2222298703.45,2958733335.0599957,2020,2
CE,2020,1820672781.84,2424014937.102547,2020,2
MA,2020,1009221633.73,1343661716.3772933,2020,2
PB,2020,360201006.25,479565921.02561486,2020,2
PE,2020,690348237.12,919118720.9873663,2020,2
PI,2020,739845167.83,985018151.4498324,2020,2
RN,2020,379326758.44,505029644.90521747,2020,2
SE,2020,282282032.74,375825832.44085777,2020,2
AL,2020,811871413.48,1080912755.3899052,2020,3
BA,2020,2222298703.45,2958733335.0599957,2020,3
CE,2020,1820672781.84,2424014937.102547,2020,3
MA,2020,1009221633.73,1343661716.3772933,2020,3
PB,2020,360201006.25,479565921.02561486,2020,3
PE,2020,690348237.12,919118720.9873663,2020,3
PI,2020,739845167.83,985018151.4498324,2020,3
RN,2020,379326758.44,505029644.90521747,2020,3
SE,2020,282282032.74,375825832.44085777,2020,3
AL,2020,811871413.48,1080912755.3899052,2020,4
BA,2020,2222298703.45,2958733335.0599957,2020,4
CE,2020,1820672781.84,2424014937.102547,2020,4
MA,2020,1009221633.73,1343661716.3772933,2020,4
PB,2020,360201006.25,479565921.02561486,2020,4
PE,2020,690348237.12,919118720.9873663,2020,4
PI,2020,739845167.83,985018151.4498324,2020,4
RN,2020,379326758.44,505029644.90521747,2020,4
SE,2020,282282032.74,375825832.44085777,2020,4
AL,2020,811871413.48,1080912755.3899052,2020,5
BA,2020,2222298703.45,2958733335.0599957,2020,5
CE,2020,1820672781.84,2424014937.102547,2020,5
MA,2020,1009221633.73,1343661716.3772933,2020,5
PB,2020,360201006.25,479565921.02561486,2020,5
PE,2020,690348237.12,919118720.9873663,2020,5
PI,2020,739845167.83,985018151.4498324,2020,5
RN,2020,379326758.44,505029644.90521747,2020,5
SE,2020,282282032.74,375825832.44085777,2020,5
AL,2020,811871413.48,1080912755.3899052,2020,6
BA,2020,2222298703.45,2958733335.0599957,2020,6
CE,2020,1820672781.84,2424014937.102547,2020,6
MA,2020,1009221633.73,1343661716.3772933,2020,6
PB,2020,360201006.25,479565921.02561486,2020,6
PE,2020,690348237.12,919118720.9873663,2020,6
PI,2020,739845167.83,985018151.4498324,2020,6
RN,2020,379326758.44,505029644.90521747,2020,6
SE,2020,282282032.74,375825832.44085777,2020,6
AL,2021,1756883519.86,2125263041.6571612,2021,1
BA,2021,3216966154.93,3891492633.432798,2021,1
CE,2021,2303101367.86,2786010662.0460267,2021,1
MA,2021,2046990438.23,2476198948.7740674,2021,1
PB,2021,568767565.12,688025513.2333374,2021,1
PE,2021,1113709742.73,1347229983.4346368,2021,1
PI,2021,1189461105.25,1438864727.1720922,2021,1
RN,2021,316999095.19,383466777.18267447,2021,1
SE,2021,417221923.52,504704110.5473089,2021,1
AL,2021,1756883519.86,2125263041.6571612,2021,2
BA,2021,3216966154.93,3891492633.432798,2021,2
CE,2021,2303101367.86,2786010662.0460267,2021,2
MA,2021,2046990438.23,2476198948.7740674,2021,2
PB,2021,568767565.12,688025513.2333374,2021,2
PE,2021,1113709742.73,1347229983.4346368,2021,2
PI,2021,1189461105.25,1438864727.1720922,2021,2
RN,2021,316999095.19,383466777.18267447,2021,2
SE,2021,417221923.52,504704110.5473089,2021,2
AL,2021,1756883519.86,2125263041.6571612,2021,3
BA,2021,3216966154.93,3891492633.432798,2021,3
CE,2021,2303101367.86,2786010662.0460267,2021,3
MA,2021,2046990438.23,2476198948.7740674,2021,3
PB,2021,568767565.12,688025513.2333374,2021,3
PE,2021,1113709742.73,1347229983.4346368,2021,3
PI,2021,1189461105.25,1438864727.1720922,2021,3
RN,2021,316999095.19,383466777.18267447,2021,3
SE,2021,417221923.52,504704110.5473089,2021,3
AL,2021,1756883519.86,2125263041.6571612,2021,4
BA,2021,3216966154.93,3891492633.432798,2021,4
CE,2021,2303101367.86,2786010662.0460267,2021,4
MA,2021,2046990438.23,2476198948.7740674,2021,4
PB,2021,568767565.12,688025513.2333374,2021,4
PE,2021,1113709742.73,1347229983.4346368,2021,4
PI,2021,1189461105.25,1438864727.1720922,2021,4
RN,2021,316999095.19,383466777.18267447,2021,4
SE,2021,417221923.52,504704110.5473089,2021,4
AL,2021,1756883519.86,2125263041.6571612,2021,5
BA,2021,3216966154.93,3891492633.432798,2021,5
CE,2021,2303101367.86,2786010662.0460267,2021,5
MA,2021,2046990438.23,2476198948.7740674,2021,5
PB,2021,568767565.12,688025513.2333374,2021,5
PE,2021,1113709742.73,1347229983.4346368,2021,5
PI,2021,1189461105.25,1438864727.1720922,2021,5
RN,2021,316999095.19,383466777.18267447,2021,5
SE,2021,417221923.52,504704110.5473089,2021,5
AL,2021,1756883519.86,2125263041.6571612,2021,6
BA,2021,3216966154.93,3891492633.432798,2021,6
CE,2021,2303101367.86,2786010662.0460267,2021,6
MA,2021,2046990438.23,2476198948.7740674,2021,6
PB,2021,568767565.12,688025513.2333374,2021,6
PE,2021,1113709742.73,1347229983.4346368,2021,6
PI,2021,1189461105.25,1438864727.1720922,2021,6
RN,2021,316999095.19,383466777.18267447,2021,6
SE,2021,417221923.52,504704110.5473089,2021,6
AL,2022,2437313237.32,2787132570.4788723,2022,1
BA,2022,9514002468.97,10879515095.0888,2022,1
CE,2022,3525370735.49,4031355284.7648206,2022,1
MA,2022,2470319489.9,2824876098.9620323,2022,1
PB,2022,1263637592.85,1445003226.6621435,2022,1
PE,2022,3043353412.04,3480155643.638775,2022,1
PI,2022,2297971211.29,2627791254.295909,2022,1
RN,2022,705803398.67,807104975.5389186,2022,1
SE,2022,988347713.73,1130201921.4092286,2022,1
AL,2022,2437313237.32,2787132570.4788723,2022,2
BA,2022,9514002468.97,10879515095.0888,2022,2
CE,2022,3525370735.49,4031355284.7648206,2022,2
MA,2022,2470319489.9,2824876098.9620323,2022,2
