ano_bim,bimestre,uf,dcl_nominal,dcl_real
2021,5,AL,4758264282.23,5853066224.13997
2021,5,BA,17279788545.69,21255596725.63183
2021,5,CE,11108323624.65,13664174572.452267
2021,5,MA,7550852448.33,9288185104.353277
2021,5,PB,-400261759.07,-492355708.6933209
2021,5,PE,11325610707.1,13931456002.779627
2021,5,PI,5369389881.72,6604802233.9367695
2021,5,RN,4225103797.82,5197233878.929467
2021,5,SE,2843275395.19,3497468445.3036437
2021,6,AL,4758264282.23,5755966805.509448
2021,6,BA,17279788545.69,20902977089.07425
2021,6,CE,11108323624.65,13437492803.232061
2021,6,MA,7550852448.33,9134098794.848398
2021,6,PB,-400261759.07,-484187775.6403227
2021,6,PE,11325610707.1,13700340169.3439
2021,6,PI,5369389881.72,6495231893.789274
2021,6,RN,4225103797.82,5111014388.357231
2021,6,SE,2843275395.19,3439447206.5694995
2022,1,AL,5273989889.7,6282113256.645476
2022,1,BA,12721590439.33,15153322933.100151
2022,1,CE,7840626652.55,9339362733.817076
2022,1,MA,6901944036.23,8221250899.8746
2022,1,PB,-1400036867.42,-1667653967.5945196
2022,1,PE,8298281421.21,9884498228.820753
2022,1,PI,3927269202.09,4677966858.648734
2022,1,RN,3493688316.82,4161506970.7558346
2022,1,SE,2375399140.12,2829456775.621721
2022,2,AL,5273989889.7,6117123903.514575
2022,2,BA,12721590439.33,14755345875.639256
2022,2,CE,7840626652.55,9094079760.849768
2022,2,MA,6901944036.23,8005333291.820929
2022,2,PB,-1400036867.42,-1623855784.066303
2022,2,PE,8298281421.21,9624898170.341784
2022,2,PI,3927269202.09,4555107767.377212
2022,2,RN,3493688316.82,4052211847.426368
2022,2,SE,2375399140.12,2755145755.738747
2022,3,AL,6098667859.6,6993691889.704209
2022,3,BA,13571968416.25,15563753859.892086
2022,3,CE,8553928005.34,9809279385.807343
2022,3,MA,6746984525.87,7737153759.61328
2022,3,PB,-1955244088.51,-2242190432.2399616
2022,3,PE,7739222872.19,8875010326.828737
2022,3,PI,4422047822.39,5071015622.313544
2022,3,RN,3404401692.92,3904022494.2880383
2022,3,SE,2390252314.0,2741039290.482846
2022,4,AL,6098667859.6,7067015854.038098
2022,4,BA,13571968416.25,15726928925.497158
2022,4,CE,8553928005.34,9912122814.309668
2022,4,MA,6746984525.87,7818272401.27819
2022,4,PB,-1955244088.51,-2265698229.534461
2022,4,PE,7739222872.19,8968058598.175276
2022,4,PI,4422047822.39,5124181671.732235
2022,4,RN,3404401692.92,3944953437.578705
2022,4,SE,2390252314.0,2769777168.894251
2022,5,AL,7245315323.33,8370759232.274929
2022,5,BA,16654259235.6,19241232166.142
2022,5,CE,10217259286.86,11804347179.843876
2022,5,MA,9122675760.38,10539737600.979147
2022,5,PB,-974981251.99,-1126429003.042928
2022,5,PE,12970167751.7,14984875965.591198
2022,5,PI,6891399275.12,7961867983.820264
2022,5,RN,4289752898.32,4956097433.35318
2022,5,SE,3543671294.86,4094123979.95724
2022,6,AL,7245315323.33,8285210949.43343
2022,6,BA,16654259235.6,19044588788.17678
2022,6,CE,10217259286.86,11683707987.71338
2022,6,MA,9122675760.38,10432022586.325846
2022,6,PB,-974981251.99,-1114917016.581576
2022,6,PE,12970167751.7,14831732102.30739
2022,6,PI,6891399275.12,7880498526.722473
2022,6,RN,4289752898.32,4905446636.5432825
2022,6,SE,3543671294.86,4052282461.582764
2023,1,AL,7008878102.31,7906172151.749524
2023,1,BA,14738118819.46,16624929536.32431
2023,1,CE,8257346088.14,9314472121.849844
2023,1,MA,7306884923.74,8242330549.460097
2023,1,PB,-2210464885.99,-2493454111.9033647
2023,1,PE,9357562874.52,10555541404.321463
2023,1,PI,5314846055.66,5995265898.867013
2023,1,RN,3662673860.97,4131578500.55888
2023,1,SE,2742281899.89,3093355665.867757
2023,2,AL,7008878102.31,7802836765.583503
2023,2,BA,14738118819.46,16407638098.61652
2023,2,CE,8257346088.14,9192729949.383867
2023,2,MA,7306884923.74,8134601500.068228
2023,2,PB,-2210464885.99,-2460864125.422515
2023,2,PE,9357562874.52,10417578186.942543
2023,2,PI,5314846055.66,5916906472.21447
2023,2,RN,3662673860.97,4077577872.7410293
2023,2,SE,2742281899.89,3052924835.8597665
2023,3,AL,7114903539.76,7909023675.059204
2023,3,BA,12441447616.81,13830082615.101542
2023,3,CE,8120395096.52,9026741783.680988
2023,3,MA,4593608980.22,5106318304.316753
2023,3,PB,-2610802277.42,-2902203368.9735446
2023,3,PE,8006095369.76,8899684650.728188
2023,3,PI,4674611546.76,5196361860.4837885
2023,3,RN,3399387386.44,3778805316.165749
2023,3,SE,2588306174.96,2877196395.09703
2023,4,AL,7114903539.76,7881416962.977963
2023,4,BA,12441447616.81,13781808248.44123
2023,4,CE,8120395096.52,8995233639.099295
2023,4,MA,4593608980.22,5088494529.2195835
2023,4,PB,-2610802277.42,-2892073130.8935757
2023,4,PE,8006095369.76,8868620003.325338
2023,4,PI,4674611546.76,5178223785.33746
2023,4,RN,3399387386.44,3765615269.6239204
2023,4,SE,2588306174.96,2867153444.6970825
2023,5,AL,10136310099.65,11172398502.376877
2023,5,BA,20841097280.44,22971381277.287346
