ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes
2022,PB,R,381,1234.9715052666972,2445
2022,PB,S,-34,1355.0806178573978,6298
2022,PB,T,0,970.1020000000001,32
2022,PE,A,1485,1344.4878269021522,80023
2022,PE,B,147,1697.2170798044592,979
2022,PE,C,6920,1329.800379622673,143036
2022,PE,D,-449,2754.3773617656575,1229
2022,PE,E,1759,1564.5803645535325,9689
2022,PE,F,8838,1664.2186833634426,104258
2022,PE,G,10583,7694.221383366206,236913
2022,PE,H,3012,1734.171937613107,48732
2022,PE,I,4721,1326.784902118243,60297
2022,PE,J,1402,2619.456891257925,17794
2022,PE,K,55,2921.178323356399,5691
2022,PE,L,260,1695.2232843078227,4238
2022,PE,M,1645,1839.516170399219,38531
2022,PE,N,14532,1393.3387749446817,163090
2022,PE,O,-283,1879.6724424789265,2327
2022,PE,P,3097,1233.9864928236814,34943
2022,PE,Q,-295,1780.01891946068,57121
2022,PE,R,780,1937.6196765246168,7066
2022,PE,S,1482,1505.4033401835286,21478
2022,PE,T,-5,1279.539125,19
2022,PE,U,-3,3534.0272222222225,9
2022,PI,A,783,1590.9333763776922,17539
2022,PI,B,263,2013.4305012810817,1079
2022,PI,C,259,1212.61533344768,20697
2022,PI,D,-8,3828.4637313333646,406
2022,PI,E,137,1505.3574758832874,2357
2022,PI,F,-357,1577.610178217775,40953
2022,PI,G,3636,1313.927276043641,69802
2022,PI,H,769,1611.2213889446157,6295
2022,PI,I,928,1239.849017104622,12716
2022,PI,J,267,1447.3320187611578,3933
2022,PI,K,782,1926.3640242599504,2632
2022,PI,L,65,1483.243023292923,843
2022,PI,M,657,1508.077233778896,7111
2022,PI,N,3433,1410.4216427444542,33939
2022,PI,O,25,3908.8329696969695,149
2022,PI,P,672,1094.2255780080675,9370
2022,PI,Q,251,1490.0331397352293,8471
2022,PI,R,204,1177.0795975623632,1404
2022,PI,S,-276,1307.8698927376035,5564
2022,RN,A,-441,1237.2462311346087,21977
2022,RN,B,1255,1814.524473937642,5279
2022,RN,C,935,1354.272018316397,39539
2022,RN,D,35,3212.591431792013,405
2022,RN,E,552,1395.9021976128813,2310
2022,RN,F,4469,1640.7846669419976,55381
2022,RN,G,4510,1250.1610369106022,95010
2022,RN,H,388,1637.9305335788233,8094
2022,RN,I,2140,1237.5045187528121,27486
2022,RN,J,-32,1599.389009755205,5258
2022,RN,K,-36,2237.571694272279,1968
2022,RN,L,136,1464.4307394167581,2288
2022,RN,M,1272,1689.5393974459091,11778
2022,RN,N,4115,1321.4377223540148,52147
2022,RN,O,-198,1892.6634307402755,770
2022,RN,P,1096,1115.9897084802162,14416
2022,RN,Q,89,1491.4386153272956,14637
2022,RN,R,449,1331.1308504024678,2599
2022,RN,S,69,1356.8879038789014,6441
2022,RN,T,-9,1377.9988095238095,41
2022,SE,A,165,1148.5473187012672,12053
2022,SE,B,392,2536.1585593485315,974
2022,SE,C,-566,1312.6454130542038,28842
2022,SE,D,53,2779.441204566772,443
2022,SE,E,51,1386.8393650391242,947
2022,SE,F,1796,1582.5217501192046,31444
2022,SE,G,2950,1260.1549608738967,51858
2022,SE,H,537,1578.0377170530694,8023
2022,SE,I,687,1199.8065345517773,11763
2022,SE,J,134,1574.7009676244845,3686
2022,SE,K,42,2566.5119116642763,2006
2022,SE,L,198,1452.2328494351052,1256
2022,SE,M,940,1557.5285246551982,7974
2022,SE,N,2103,1295.5652676106629,25711
2022,SE,O,-99,2273.7216688889525,571
2022,SE,P,346,1063.4477900304025,8878
2022,SE,Q,346,1489.645459929737,9506
2022,SE,R,236,1207.3165029736476,1688
2022,SE,S,-94,1594.960486609255,4484
2022,SE,T,5,1283.047619047619,9
2023,AL,A,297,1192.7211338735904,14659
2023,AL,B,95,2301.4701094822235,615
2023,AL,C,3974,1275.6539209123298,67102
2023,AL,D,179,3782.058434965751,727
2023,AL,E,-534,1905.784285240138,3738
2023,AL,F,2365,1706.2160176022946,42207
2023,AL,G,3432,1375.7585165274975,80104
2023,AL,H,213,1727.3403867653317,13577
2023,AL,I,1816,1441.1632380732901,27300
2023,AL,J,-101,1835.1850209392348,4159
2023,AL,K,53,2826.045284245701,1665
2023,AL,L,319,1534.7310602045247,3461
2023,AL,M,834,1826.5422528784059,9304
2023,AL,N,3217,1407.2012208832928,38339
2023,AL,O,1443,3138.849385541491,2617
2023,AL,P,704,1275.9784833400877,9852
2023,AL,Q,-234,1635.9535503556265,10598
2023,AL,R,166,2092.3368927400234,1618
2023,AL,S,-53,1439.6957336623884,5811
2023,AL,T,2,1302.0,2
2023,BA,A,6019,1508.3039757669223,147089
2023,BA,B,886,2811.1086369355794,8708
2023,BA,C,1344,1569.7958104419222,175516
2023,BA,D,-136,4143.135205683845,1338
2023,BA,E,630,1831.631635306387,15026
2023,BA,F,841,1946.8272289670651,242527
2023,BA,G,14445,1465.7277404957852,387383
2023,BA,H,6076,1836.5617894623213,78232
2023,BA,I,4979,1415.1458270866024,104443
2023,BA,J,557,2352.036128486186,23735
2023,BA,K,-1,2947.834196961692,7721
2023,BA,L,427,1670.8297900254877,6305
2023,BA,M,5036,2103.303981785047,65722
2023,BA,N,16112,1476.7186761988849,221366
2023,BA,O,1889,2186.7852727504255,7573
2023,BA,P,2557,1271.3356509922037,52409
2023,BA,Q,8056,1873.179047309947,89440
2023,BA,R,1061,2205.659852937641,8259
2023,BA,S,1826,1631.553383710436,27360
2023,BA,T,-1,1668.305424338925,95
2023,BA,U,2,63.23499999999999,4
2023,BA,Z,-1,3510.9933333333333,3
2023,CE,A,862,1344.3529295122623,19362
2023,CE,B,50,1882.8581709654097,1898
2023,CE,C,1244,1394.9203343049355,170944
2023,CE,D,484,5178.126233177325,1030
2023,CE,E,986,1811.4342873881853,7000
2023,CE,F,6890,1847.4437592893846,133992
2023,CE,G,13214,1445.8775629832064,233228
2023,CE,H,1601,1761.2430007087348,38461
2023,CE,I,3527,1372.5745007938222,63767
2023,CE,J,3162,2198.0215467390876,41418
2023,CE,K,1237,2781.560051656074,12021
2023,CE,L,-43,1615.786797185837,6013
2023,CE,M,2039,1820.118094857494,37989
2023,CE,N,12454,1564.6546969844187,167712
2023,CE,O,1760,2250.0766937244703,2136
2023,CE,P,2582,1483.27521071437,39674
2023,CE,Q,1646,1990.5709789339342,41296
2023,CE,R,1129,1899.8867101350097,8973
2023,CE,S,770,1775.2795273823297,22930
2023,CE,T,-4,1315.9375,12
2023,MA,A,1869,1740.658724535742,36363
2023,MA,B,112,3733.779263230095,1160
2023,MA,C,2720,1737.4511816912757,32618
2023,MA,D,113,5389.971701432128,725
2023,MA,E,36,1539.1073361104654,2260
2023,MA,F,657,1828.4378264517266,71189
2023,MA,G,7746,1444.8602964109102,140268
2023,MA,H,869,2055.210320305372,21415
2023,MA,I,1241,1396.8293975952472,20511
2023,MA,J,1129,1587.5210924744536,9269
2023,MA,K,172,2760.7666977034382,2372
2023,MA,L,163,1541.4703361674367,2255
2023,MA,M,667,1757.9841124433033,15131
2023,MA,N,1601,1615.976546462082,55759
2023,MA,O,42,1436.3917746489344,4452
2023,MA,P,1297,1200.0887336984467,15401
2023,MA,Q,1491,2037.0876686809504,20051
2023,MA,R,317,2115.392700832365,2029
2023,MA,S,-136,1678.1687662398647,9792
2023,MA,T,-3,553.4697916666667,19
2023,PB,A,679,1242.4222925041965,12847
