ano,mes,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2023,4,BA,74386,63134,11252,137520,1613.9799330916187
2023,4,CE,42883,38395,4488,81278,1650.3982072939496
2023,4,MA,18503,16302,2201,34805,1732.8420575469258
2023,4,PB,13960,17141,-3181,31101,1331.5537318234462
2023,4,PE,42439,44864,-2425,87303,1583.7973959885387
2023,4,PI,11763,9880,1883,21643,1448.4311474121996
2023,4,RN,15877,14300,1577,30177,1639.0535500132662
2023,4,SE,9427,9996,-569,19423,1458.5654200877873
2023,5,AL,13246,21434,-8188,34680,1397.282259588902
2023,5,BA,76189,66761,9428,142950,1641.7544475581306
2023,5,CE,46216,42781,3435,88997,1616.7522690229628
2023,5,MA,20303,17881,2422,38184,1644.4668921859027
2023,5,PB,17235,14367,2868,31602,1423.0046431737587
2023,5,PE,47239,46775,464,94014,1563.8552433428094
2023,5,PI,12707,10039,2668,22746,1512.6178539335742
2023,5,RN,17162,15404,1758,32566,1519.1857893603935
2023,5,SE,9606,9778,-172,19384,1457.9123719774245
2023,6,AL,13549,12084,1465,25633,1480.0372854299208
2023,6,BA,71199,62880,8319,134079,1659.385982776505
2023,6,CE,48059,41488,6571,89547,1661.7245878132196
2023,6,MA,23574,18685,4889,42259,1653.185911578648
2023,6,PB,14608,14831,-223,29439,1429.0199439157036
2023,6,PE,46069,40742,5327,86811,1650.9096961873588
2023,6,PI,14092,9922,4170,24014,1560.4349381224217
2023,6,RN,18460,15986,2474,34446,1677.2249360093076
2023,6,SE,8940,8308,632,17248,1527.4352796979379
2023,7,AL,13605,11436,2169,25041,1510.9239190053568
2023,7,BA,72577,67397,5180,139974,1671.6262419158243
2023,7,CE,47597,41107,6490,88704,1609.4770048946632
2023,7,MA,20932,18346,2586,39278,1643.9742664323733
2023,7,PB,17447,13970,3477,31417,1458.0237937079653
2023,7,PE,46226,41825,4401,88051,1601.3515448882624
2023,7,PI,13686,9957,3729,23643,1548.8265076610514
2023,7,RN,18950,15419,3531,34369,1512.9422111884446
2023,7,SE,9321,8829,492,18150,1497.3513054365367
2023,8,AL,16761,13378,3383,30139,1532.0451619850821
2023,8,BA,82230,70712,11518,152942,1678.9768215017405
2023,8,CE,54276,43344,10932,97620,1592.5905242031108
2023,8,MA,22916,20507,2409,43423,1649.0685491120837
2023,8,PB,23284,14502,8782,37786,1392.8044543624517
2023,8,PE,59515,43949,15566,103464,1542.2998244695111
2023,8,PI,13556,10792,2764,24348,1504.1737828213818
2023,8,RN,22036,16061,5975,38097,1673.8856396391316
2023,8,SE,11235,8790,2445,20025,1446.9148080036553
2023,9,AL,27443,11283,16160,38726,1322.655516070962
2023,9,BA,72460,62606,9854,135066,1693.567307202344
2023,9,CE,50402,39919,10483,90321,1600.9500749438635
2023,9,MA,21453,18603,2850,40056,1647.9610746432895
2023,9,PB,17766,13573,4193,31339,1472.1183053495677
2023,9,PE,57870,39006,18864,96876,1538.5089992683718
2023,9,PI,12627,10133,2494,22760,1537.5459839710193
2023,9,RN,19348,15094,4254,34442,1836.6389723254572
2023,9,SE,13883,7927,5956,21810,1458.9556914329767
2023,10,AL,15583,11420,4163,27003,1479.5315994519128
2023,10,BA,71894,65989,5905,137883,1705.3687231928518
2023,10,CE,47610,41480,6130,89090,1629.3438338758558
2023,10,MA,20936,18579,2357,39515,1677.8145139820322
2023,10,PB,16801,13028,3773,29829,1478.8131362097288
2023,10,PE,49552,41280,8272,90832,1675.2920807644882
2023,10,PI,12400,10213,2187,22613,1597.3714690664663
2023,10,RN,16808,14551,2257,31359,1590.8639765298637
2023,10,SE,10055,8452,1603,18507,1466.353743448425
2023,11,AL,14582,11748,2834,26330,1501.339162172427
2023,11,BA,70975,63601,7374,134576,1654.2082453037688
2023,11,CE,45220,40546,4674,85766,1625.3355983723154
2023,11,MA,19829,18400,1429,38229,1663.2477197938738
2023,11,PB,16477,12820,3657,29297,1498.8673843738266
2023,11,PE,50528,42864,7664,93392,1594.3126954128834
2023,11,PI,11601,11725,-124,23326,1495.9426682671697
2023,11,RN,18370,15028,3342,33398,1735.6180687466315
2023,11,SE,9485,7746,1739,17231,1476.922568626313
2023,12,AL,11015,10914,101,21929,1516.0327374709289
2023,12,BA,58434,75733,-17299,134167,1639.7265867165547
2023,12,CE,35081,38806,-3725,73887,1638.421051199805
2023,12,MA,14815,18501,-3686,33316,1641.0936411934206
2023,12,PB,11954,13458,-1504,25412,1466.1116480402961
2023,12,PE,39307,47942,-8635,87249,1660.1637434239933
2023,12,PI,8087,11566,-3479,19653,1528.6178664834886
2023,12,RN,13449,16016,-2567,29465,1524.9397732903446
2023,12,SE,7753,8497,-744,16250,1449.8595538461539
2024,1,AL,14097,13324,773,27421,1549.5817304255863
2024,1,BA,73389,68568,4821,141957,1779.7525141416063
2024,1,CE,47820,46556,1264,94376,1692.4903398109689
2024,1,MA,19946,20777,-831,40723,1752.4387942931512
2024,1,PB,17239,16907,332,34146,1481.6851285655714
2024,1,PE,49439,47147,2292,96586,1696.5960047004742
2024,1,PI,11798,11077,721,22875,1635.4645381420767
2024,1,RN,17836,16379,1457,34215,1872.7941587023236
2024,1,SE,10298,9521,777,19819,1519.4551667591704
2024,2,AL,13135,16021,-2886,29156,1547.5393545067911
2024,2,BA,79199,72950,6249,152149,1675.670192048584
2024,2,CE,48488,44591,3897,93079,1659.8812296006618
2024,2,MA,19392,20612,-1220,40004,1692.4180776922308
2024,2,PB,17867,17876,-9,35743,1492.8130537447892
2024,2,PE,49960,47815,2145,97775,1658.2314463819994
2024,2,PI,12077,11544,533,23621,1718.7886109817537
2024,2,RN,17527,17244,283,34771,1542.8768292542636
2024,2,SE,11285,9706,1579,20991,1512.450191987042
2024,3,AL,14865,24454,-9589,39319,1452.8251384826674
2024,3,BA,86774,74292,12482,161066,1715.9675879453143
2024,3,CE,49129,42944,6185,92073,1659.9570376766262
2024,3,MA,22112,19335,2777,41447,1692.0752698627161
2024,3,PB,18886,18623,263,37509,1457.4213730038125
2024,3,PE,51986,50622,1364,102608,1643.611665074848
2024,3,PI,14051,11036,3015,25087,1588.4315278829674
2024,3,RN,20842,19427,1415,40269,1513.6013178872086
2024,3,SE,11364,13239,-1875,24603,1539.6665878144943
2024,4,AL,15678,17285,-1607,32963,1576.1164657343083
2024,4,BA,84239,73590,10649,157829,1753.4711923030623
2024,4,CE,50529,44851,5678,95380,1669.6969110924722
2024,4,MA,22216,19238,2978,41454,1750.0718531384184
2024,4,PB,18930,18191,739,37121,1514.0895018991944
2024,4,PE,52533,53636,-1103,106169,2624.1366126647135
2024,4,PI,13417,11345,2072,24762,1605.8769493578873
2024,4,RN,20233,17542,2691,37775,1577.3884195896756
2024,4,SE,11525,9955,1570,21480,1585.664568435754
2024,5,AL,15370,13146,2224,28516,1631.1910758872211
2024,5,BA,82982,74197,8785,157179,1753.1163945565245
2024,5,CE,52255,45299,6956,97554,1690.7727943497962
2024,5,MA,22623,20207,2416,42830,1747.2398718188185
2024,5,PB,17548,15772,1776,33320,1531.0949318727492
2024,5,PE,51530,47538,3992,99068,1673.777174566964
2024,5,PI,12722,10588,2134,23310,1639.0159090519091
2024,5,RN,19624,16888,2736,36512,1582.204747754163
2024,5,SE,10169,9446,723,19615,1595.9395238338006
2024,6,AL,14601,11915,2686,26516,1616.4881686528888
2024,6,BA,77192,68293,8899,145485,1796.6894624875415
2024,6,CE,53016,45396,7620,98412,1720.5716018371743
2024,6,MA,24822,18797,6025,43619,1771.7442039019695
2024,6,PB,18029,14609,3420,32638,1547.487593296158
2024,6,PE,50407,42385,8022,92792,1712.7510926588498
2024,6,PI,13251,10337,2914,23588,1707.8321807698828
2024,6,RN,20160,15627,4533,35787,1573.8814575125045
2024,6,SE,10509,8688,1821,19197,1598.237630879825
2024,7,AL,16625,13679,2946,30304,1600.0562991684267
