ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2016,BA,2,1.0,438,621,-183,819.3285941697444,1059
2016,BA,2,2.0,2848,4508,-1660,884.3648154653744,7356
2016,BA,2,3.0,1715,2689,-974,886.1988037349818,4404
2016,BA,2,4.0,4135,5800,-1665,914.1876284335729,9935
2016,BA,2,5.0,5619,7520,-1901,960.6442762312363,13139
2016,BA,2,6.0,9430,10819,-1389,871.7994344544155,20249
2016,BA,2,7.0,99866,109317,-9451,1024.806031609417,209183
2016,BA,2,8.0,6495,7172,-677,1252.4330858833368,13667
2016,BA,2,9.0,18388,19080,-692,2341.3204327946833,37468
2016,CE,1,1.0,1612,1905,-293,992.3944244016129,3517
2016,CE,1,2.0,9552,12489,-2937,1132.0565466594385,22041
2016,CE,1,3.0,5028,6388,-1360,1124.5682490655013,11416
2016,CE,1,4.0,15954,19362,-3408,1093.68004174664,35316
2016,CE,1,5.0,26693,32093,-5400,1111.027804468477,58786
2016,CE,1,6.0,16595,18357,-1762,1013.3995926916144,34952
2016,CE,1,7.0,118630,123597,-4967,1144.194066539967,242227
2016,CE,1,8.0,5367,5816,-449,1569.932801778287,11183
2016,CE,1,9.0,9553,10611,-1058,3209.106392546174,20164
2016,CE,2,1.0,136,127,9,888.0382418481471,263
2016,CE,2,2.0,934,1102,-168,914.2452388668344,2036
2016,CE,2,3.0,559,784,-225,910.4537719365255,1343
2016,CE,2,4.0,2562,3307,-745,908.7342647999545,5869
2016,CE,2,5.0,6358,7441,-1083,921.6654142874677,13799
2016,CE,2,6.0,5691,6904,-1213,840.9466707698072,12595
2016,CE,2,7.0,71805,75402,-3597,973.6536050237404,147207
2016,CE,2,8.0,6131,6585,-454,1257.7780752402844,12716
2016,CE,2,9.0,12445,12629,-184,2075.6962487038727,25074
2016,MA,1,1.0,781,1135,-354,996.2633350848779,1916
2016,MA,1,2.0,3644,5359,-1715,1095.9112315523428,9003
2016,MA,1,3.0,2285,3715,-1430,1184.8707740342543,6000
2016,MA,1,4.0,5355,7973,-2618,1179.291864977139,13328
2016,MA,1,5.0,9608,12251,-2643,1247.0356833843211,21859
2016,MA,1,6.0,4823,6500,-1677,1132.0593697087445,11323
2016,MA,1,7.0,47440,53006,-5566,1249.7541495433966,100446
2016,MA,1,8.0,1326,1251,75,1618.5344285862561,2577
2016,MA,1,9.0,3480,3630,-150,3418.5316316915514,7110
2016,MA,2,1.0,32,44,-12,926.4401298701299,76
2016,MA,2,2.0,181,273,-92,957.3914362312132,454
2016,MA,2,3.0,157,253,-96,1016.8249237630455,410
2016,MA,2,4.0,501,582,-81,949.6932697919112,1083
2016,MA,2,5.0,1064,1277,-213,971.9761847370437,2341
2016,MA,2,6.0,1203,1467,-264,883.030885426601,2670
2016,MA,2,7.0,23609,25306,-1697,1030.720156003135,48915
2016,MA,2,8.0,1443,1424,19,1288.488505860433,2867
2016,MA,2,9.0,5124,4741,383,2126.8221860395843,9865
2016,PB,1,1.0,1918,1960,-42,967.3388759471587,3878
2016,PB,1,2.0,6951,7039,-88,1056.349050843224,13990
2016,PB,1,3.0,3159,3577,-418,1045.6337530209921,6736
2016,PB,1,4.0,5495,6535,-1040,1076.8566308458205,12030
