ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2021,PI,2,2,234,142,92,1094.1143697497175,376
2021,PI,2,3,116,133,-17,1112.2578736084824,249
2021,PI,2,4,526,528,-2,1098.4011701006004,1054
2021,PI,2,5,1340,1028,312,1114.1025020285551,2368
2021,PI,2,6,1801,1245,556,894.893969662379,3046
2021,PI,2,7,21672,14922,6750,1159.2645038472604,36594
2021,PI,2,8,2039,1541,498,1259.2657261873983,3580
2021,PI,2,9,5494,4219,1275,1750.865774848275,9713
2021,PI,2,10,123,124,-1,2023.4180252642645,247
2021,PI,2,11,29,30,-1,1512.6112555555555,59
2021,PI,2,80,382,335,47,3367.5622657794274,717
2021,RN,1,1,1106,946,160,1140.459670152816,2052
2021,RN,1,2,4754,4501,253,1147.6724228330856,9255
2021,RN,1,3,2770,2603,167,1213.72727487223,5373
2021,RN,1,4,7407,6478,929,1168.3179106878774,13885
2021,RN,1,5,8943,8139,804,1250.6405511048329,17082
2021,RN,1,6,9023,7514,1509,1117.3162941718656,16537
2021,RN,1,7,68272,52561,15711,1261.9406787982045,120833
2021,RN,1,8,2537,2030,507,1431.1737093856216,4567
2021,RN,1,9,4840,4320,520,2296.888266072836,9160
2021,RN,1,10,116,121,-5,2472.4674661503086,237
2021,RN,1,11,34,37,-3,2473.6153643162393,71
2021,RN,1,80,330,335,-5,2958.233514183837,665
2021,RN,2,1,291,178,113,1047.7639655146386,469
2021,RN,2,2,489,432,57,1093.9669969936708,921
2021,RN,2,3,369,302,67,988.012027623834,671
2021,RN,2,4,1256,1099,157,1029.7557239667206,2355
2021,RN,2,5,1510,1400,110,1428.618525203935,2910
2021,RN,2,6,3328,2420,908,893.657163081771,5748
2021,RN,2,7,37458,27431,10027,1089.817111719521,64889
2021,RN,2,8,2693,2081,612,1252.043275036712,4774
2021,RN,2,9,7174,6002,1172,1717.2310570887055,13176
2021,RN,2,10,182,158,24,1878.1277986325404,340
2021,RN,2,11,32,41,-9,1498.348866744367,73
2021,RN,2,80,602,546,56,2465.3067457751135,1148
2021,SE,1,1,1577,968,609,1148.209353611225,2545
2021,SE,1,2,4787,4315,472,1197.0590875117066,9102
2021,SE,1,3,1592,1612,-20,1224.179348422662,3204
2021,SE,1,4,3719,3257,462,1173.881667025711,6976
2021,SE,1,5,4050,3688,362,1255.9151962440474,7738
