cod_ibge,regiao_codigo,regiao_nome,ano,mes,valor
2304285,03,Grande Fortaleza,2015,4,1401260.6549999998
2304400,03,Grande Fortaleza,2015,4,69445926.565
2304954,03,Grande Fortaleza,2015,4,203518.05500000002
2305233,03,Grande Fortaleza,2015,4,2270348.5
2306256,03,Grande Fortaleza,2015,4,550305.435
2307650,03,Grande Fortaleza,2015,4,3170381.3100000005
2307700,03,Grande Fortaleza,2015,4,1693155.615
2309607,03,Grande Fortaleza,2015,4,369646.48
2310209,03,Grande Fortaleza,2015,4,78039.60999999999
2310852,03,Grande Fortaleza,2015,4,25933.0
2312601,03,Grande Fortaleza,2015,4,29123.304999999993
2313500,03,Grande Fortaleza,2015,4,351370.55499999993
2301109,04,Litoral Leste,2015,4,881577.0149999999
2302206,04,Litoral Leste,2015,4,418326.73000000004
2304459,04,Litoral Leste,2015,4,17058.600000000006
2305357,04,Litoral Leste,2015,4,528656.885
2306207,04,Litoral Leste,2015,4,58237.860000000015
2307007,04,Litoral Leste,2015,4,637582.47
2300200,05,Litoral Norte,2015,4,246685.82499999998
2302057,05,Litoral Norte,2015,4,91611.05000000002
2302305,05,Litoral Norte,2015,4,918909.1299999999
2303907,05,Litoral Norte,2015,4,108933.17
2304251,05,Litoral Norte,2015,4,524160.3450000001
2304707,05,Litoral Norte,2015,4,970115.915
2306553,05,Litoral Norte,2015,4,273681.92000000004
2307254,05,Litoral Norte,2015,4,346154.08
2307908,05,Litoral Norte,2015,4,227683.68499999994
2308906,05,Litoral Norte,2015,4,129155.13
2300754,06,Litoral Oeste / Vale do Curu,2015,4,1044596.81
2300903,06,Litoral Oeste / Vale do Curu,2015,4,446883.50999999995
2306108,06,Litoral Oeste / Vale do Curu,2015,4,468762.79000000004
2306306,06,Litoral Oeste / Vale do Curu,2015,4,1664715.71
2306405,06,Litoral Oeste / Vale do Curu,2015,4,2696616.3599999994
2308377,06,Litoral Oeste / Vale do Curu,2015,4,3187.0
2310704,06,Litoral Oeste / Vale do Curu,2015,4,412890.3400000001
2313351,06,Litoral Oeste / Vale do Curu,2015,4,432307.555
2313757,06,Litoral Oeste / Vale do Curu,2015,4,483189.52
2313807,06,Litoral Oeste / Vale do Curu,2015,4,1470.5
2300150,07,Maciço do Baturité,2015,4,150658.985
2301208,07,Maciço do Baturité,2015,4,461257.8650000001
2301406,07,Maciço do Baturité,2015,4,49710.67
2302107,07,Maciço do Baturité,2015,4,19379.24
2302909,07,Maciço do Baturité,2015,4,301757.32999999996
2309102,07,Maciço do Baturité,2015,4,20398.665
2309458,07,Maciço do Baturité,2015,4,114177.125
2309805,07,Maciço do Baturité,2015,4,173565.875
2310100,07,Maciço do Baturité,2015,4,57860.899999999994
2311603,07,Maciço do Baturité,2015,4,202660.03
2304236,08,Serra da Ibiapaba,2015,4,191183.75999999998
2305001,08,Serra da Ibiapaba,2015,4,138970.57999999996
2305308,08,Serra da Ibiapaba,2015,4,594146.5149999999
2313401,08,Serra da Ibiapaba,2015,4,487039.9550000001
2313609,08,Serra da Ibiapaba,2015,4,246475.10999999987
2301851,09,Sertão Central,2015,4,34363.390000000014
2303931,09,Sertão Central,2015,4,263926.81000000006
2304269,09,Sertão Central,2015,4,467411.74499999994
2305332,09,Sertão Central,2015,4,52122.22499999999
2308351,09,Sertão Central,2015,4,299676.59
2308500,09,Sertão Central,2015,4,700955.0850000001
2310902,09,Sertão Central,2015,4,139922.71500000003
2311306,09,Sertão Central,2015,4,1096482.845
2312700,09,Sertão Central,2015,4,36966.204999999994
2313005,09,Sertão Central,2015,4,2682.9500000000116
2302800,10,Sertão de Canindé,2015,4,28288.045000000042
2303006,10,Sertão de Canindé,2015,4,201984.195
2307635,10,Sertão de Canindé,2015,4,5279.0
2310407,10,Sertão de Canindé,2015,4,118825.43
2304004,11,Sertão de Sobral,2015,4,1006999.3500000001
2304509,11,Sertão de Sobral,2015,4,65526.899999999994
2304905,11,Sertão de Sobral,2015,4,166365.645
2308005,11,Sertão de Sobral,2015,4,344612.68
2308807,11,Sertão de Sobral,2015,4,44216.97000000003
2312007,11,Sertão de Sobral,2015,4,294438.16500000004
2312908,11,Sertão de Sobral,2015,4,1668429.3499999996
2304103,12,Sertão dos Crateús,2015,4,413718.2300000001
2309300,12,Sertão dos Crateús,2015,4,112274.805
2309409,12,Sertão dos Crateús,2015,4,235375.21500000008
2312205,12,Sertão dos Crateús,2015,4,403658.43000000005
2300408,13,Sertão dos Inhamuns,2015,4,524627.465
2300705,14,Vale do Jaguaribe,2015,4,859753.065
2306009,14,Vale do Jaguaribe,2015,4,332911.255
2306801,14,Vale do Jaguaribe,2015,4,101634.94
2306900,14,Vale do Jaguaribe,2015,4,547265.815
2307601,14,Vale do Jaguaribe,2015,4,1227047.07
2308708,14,Vale do Jaguaribe,2015,4,544474.2100000001
2311231,14,Vale do Jaguaribe,2015,4,436173.12
2311801,14,Vale do Jaguaribe,2015,4,1064486.735
2312502,14,Vale do Jaguaribe,2015,4,16930.73000000004
2313104,14,Vale do Jaguaribe,2015,4,97629.70000000001
2300101,01,Cariri,2015,5,403789.39
2301604,01,Cariri,2015,5,463710.47
2301901,01,Cariri,2015,5,1061628.5199999998
2302503,01,Cariri,2015,5,2912996.825
2303204,01,Cariri,2015,5,1319044.31
2304202,01,Cariri,2015,5,1787205.045
2307106,01,Cariri,2015,5,284918.1349999999
2307205,01,Cariri,2015,5,166463.31999999998
2307304,01,Cariri,2015,5,3481805.12
2307502,01,Cariri,2015,5,290940.2
2308302,01,Cariri,2015,5,323928.90499999997
2310605,01,Cariri,2015,5,170628.58999999997
2311108,01,Cariri,2015,5,2174910.8850000002
2314003,01,Cariri,2015,5,490138.74
2300309,02,Centro Sul,2015,5,461256.91000000003
2303600,02,Centro Sul,2015,5,149721.60499999998
2303808,02,Centro Sul,2015,5,157220.71999999997
2305506,02,Centro Sul,2015,5,961928.1350000002
2311355,02,Centro Sul,2015,5,371276.67499999993
2311900,02,Centro Sul,2015,5,142711.21500000003
2301000,03,Grande Fortaleza,2015,5,999558.9850000001
2303501,03,Grande Fortaleza,2015,5,1950946.86
2303709,03,Grande Fortaleza,2015,5,7289973.374999998
2303956,03,Grande Fortaleza,2015,5,316774.67499999993
2304285,03,Grande Fortaleza,2015,5,170759.7649999999
2304400,03,Grande Fortaleza,2015,5,53138421.125
2304954,03,Grande Fortaleza,2015,5,61178.56
2305233,03,Grande Fortaleza,2015,5,2143371.1599999997
2306256,03,Grande Fortaleza,2015,5,447808.20499999984
2307650,03,Grande Fortaleza,2015,5,7740739.499999999
2307700,03,Grande Fortaleza,2015,5,2053685.3599999999
2309607,03,Grande Fortaleza,2015,5,799677.0599999999
2310209,03,Grande Fortaleza,2015,5,171232.27000000002
2310852,03,Grande Fortaleza,2015,5,182071.385
2312601,03,Grande Fortaleza,2015,5,1319108.325
2313500,03,Grande Fortaleza,2015,5,858124.565
2301109,04,Litoral Leste,2015,5,526233.45
2302206,04,Litoral Leste,2015,5,570176.6849999999
2304459,04,Litoral Leste,2015,5,100291.78499999999
2305357,04,Litoral Leste,2015,5,700248.4299999999
2306207,04,Litoral Leste,2015,5,135326.02
2307007,04,Litoral Leste,2015,5,392197.03500000015
2300200,05,Litoral Norte,2015,5,205622.15499999997
2302305,05,Litoral Norte,2015,5,115475.31000000006
2303907,05,Litoral Norte,2015,5,258294.655
2304251,05,Litoral Norte,2015,5,264384.4199999999
2304707,05,Litoral Norte,2015,5,2523190.25
2306553,05,Litoral Norte,2015,5,249681.8450000001
2307254,05,Litoral Norte,2015,5,562402.0399999999
2307809,05,Litoral Norte,2015,5,1145482.03
2307908,05,Litoral Norte,2015,5,326210.7150000001
