ano,bimestre,regiao_codigo,regiao_nome,elemento,empenhado_acum,pago_acum,empenhado_fluxo,pago_fluxo
2020,6,04,Litoral Leste,equip,2262530.98,1552339.56,748481.26,168515.71
2020,6,05,Litoral Norte,equip,2310467.96,1083313.61,1282403.26,573020.22
2020,6,06,Litoral Oeste / Vale do Curu,equip,2696071.09,1823569.23,1165565.73,739952.96
2020,6,07,Maciço do Baturité,equip,1589959.83,1076645.23,411575.68,226247.12
2020,6,08,Serra da Ibiapaba,equip,2820159.64,1569946.17,1193268.85,954736.61
2020,6,09,Sertão Central,equip,4322014.97,1831970.92,1229522.23,1234009.68
2020,6,10,Sertão de Canindé,equip,758127.89,227896.58,212001.1,61558.82
2020,6,11,Sertão de Sobral,equip,4853084.28,3293765.99,1827878.87,1615579.73
2020,6,12,Sertão dos Crateús,equip,2495529.87,1582277.03,1084525.83,1031042.84
2020,6,13,Sertão dos Inhamuns,equip,1083718.41,351439.36,705553.41,149898.63
2020,6,14,Vale do Jaguaribe,equip,6753134.54,1669512.08,3031333.76,208573.88
2020,6,15,Estado do Ceará (não regionalizado),equip,15586331.59,5485841.57,11334399.63,2773140.21
2020,6,01,Cariri,obras,410420941.33,227222127.03,257084397.59,79365326.82
2020,6,02,Centro Sul,obras,13248440.99,12537414.12,4100274.82,3857605.82
2020,6,03,Grande Fortaleza,obras,583701077.84,319606598.03,397544239.51,139062832.38
2020,6,04,Litoral Leste,obras,29386471.33,28093468.3,9365658.89,9623464.26
2020,6,05,Litoral Norte,obras,41906444.91,28164268.35,22428816.05,8854812.84
2020,6,06,Litoral Oeste / Vale do Curu,obras,25659901.79,23102994.64,12761644.15,11137455.7
2020,6,07,Maciço do Baturité,obras,15168995.78,13916409.6,6011448.53,6222461.84
2020,6,08,Serra da Ibiapaba,obras,4527244.17,2713012.83,3226616.52,1706418.38
2020,6,09,Sertão Central,obras,25357670.6,23485707.16,9428018.72,7716199.48
2020,6,10,Sertão de Canindé,obras,27514631.15,26791060.64,21252323.7,21230878.69
2020,6,11,Sertão de Sobral,obras,42488930.79,13590707.44,34625748.38,6856207.62
2020,6,12,Sertão dos Crateús,obras,29675398.81,21006333.85,14778178.73,9248230.59
2020,6,13,Sertão dos Inhamuns,obras,15365649.25,14910006.23,9814580.64,9388613.68
2020,6,14,Vale do Jaguaribe,obras,68877255.18,59955532.7,23546423.07,15088297.32
2020,6,15,Estado do Ceará (não regionalizado),obras,13028362.15,2747660.84,8760279.08,829620.92
2021,6,01,Cariri,equip,78217528.43,32538859.68,69264576.79,26364151.28
2021,6,02,Centro Sul,equip,26647401.1,9835306.35,24631894.24,8650148.09
2021,6,03,Grande Fortaleza,equip,409550452.88,136044965.67,289858278.54,75762934.1
2021,6,04,Litoral Leste,equip,12281565.28,3718297.16,11136859.68,3146701.13
2021,6,05,Litoral Norte,equip,33722938.53,8982433.76,30707024.61,6940227.34
2021,6,06,Litoral Oeste / Vale do Curu,equip,28300057.23,9211120.86,24734857.53,6804555.21
2021,6,07,Maciço do Baturité,equip,20631207.31,4850047.28,19127419.23,3852259.81
2021,6,08,Serra da Ibiapaba,equip,24925225.19,6876212.53,22852307.85,5599103.02
2021,6,09,Sertão Central,equip,33520774.08,8907259.69,30768444.86,7183935.07
2021,6,10,Sertão de Canindé,equip,16727751.71,4420790.32,14775509.78,3459844.07
2021,6,11,Sertão de Sobral,equip,35629221.14,9767091.0,31022563.62,6992789.35
2021,6,12,Sertão dos Crateús,equip,29913350.73,8624238.64,26187710.57,6562117.35
