ano,mes,direto_ce,ne_rateado,nacional_rateado,ne_bruto,nacional_bruto,share_ne,share_br,total
2022,7,7703491.199999999,16527083.44053,12816328.428186,111594081.3,587904973.77,0.1481,0.0218,37046903.068716
2022,8,6586583.04,20348819.984203,17189124.35195,137399189.63,788491942.75,0.1481,0.0218,44124527.376153
2022,9,1520124.33,16546172.285009,14181751.930484,111722972.89,650539079.38,0.1481,0.0218,32248048.545493003
2022,10,14594298.88,12588969.183762,8058157.843271999,85003168.02,369640268.03999996,0.1481,0.0218,35241425.907034
2022,11,12325366.48,13556608.945266,15352780.017380001,91536859.86,704255964.1,0.1481,0.0218,41234755.442646004
2022,12,4486624.97,46376662.721525006,57737447.603004,313144245.25,2648506770.78,0.1481,0.0218,108600735.294529
2023,1,0.0,0.0,27873.022539999998,0.0,1266955.57,0.149,0.022,27873.022539999998
2023,2,5649.6,496.9299,684376.28006,3335.1,31108012.73,0.149,0.022,690522.80996
2023,3,196414.98,3913364.19676,2606488.7347399998,26264189.240000002,118476760.67,0.149,0.022,6716267.911499999
2023,4,1929125.3,9785327.473749999,2128468.69972,65673338.75,96748577.26,0.149,0.022,13842921.473469999
2023,5,4237924.07,17467307.72233,5172905.098239999,117230253.17,235132049.92,0.149,0.022,26878136.89057
2023,6,4531137.83,29045809.444579996,9357097.45256,194938318.42,425322611.48,0.149,0.022,42934044.727139995
2023,7,4613843.33,28576005.87666,14074178.581319997,191785274.34,639735390.06,0.149,0.022,47264027.78798
2023,8,9120259.7,44585965.615439996,8173730.809859999,299234668.56,371533218.63,0.149,0.022,61879956.1253
2023,9,5717933.13,34025351.749069996,8759159.4409,228358065.43,398143610.95,0.149,0.022,48502444.31997
2023,10,1351779.97,54068820.07492,31134943.2504,362877987.08,1415224693.2,0.149,0.022,86555543.29532
2023,11,9284805.65,55943297.31625,18194878.671639998,375458371.25,827039939.62,0.149,0.022,83422981.63789
2023,12,24399364.48,68793068.73263,40875995.85498,461698447.87,1857999811.59,0.149,0.022,134068429.06761
