cod_ibge,regiao_codigo,regiao_nome,ano,mes,credito_operacoes
2301109,04,Litoral Leste,2015,8,39857589.0
2301901,01,Cariri,2015,8,25067960.0
2302107,07,Maciço do Baturité,2015,8,24940739.0
2302404,10,Sertão de Canindé,2015,8,16597298.0
2302503,01,Cariri,2015,8,27616438.0
2302701,01,Cariri,2015,8,15019764.0
2302800,10,Sertão de Canindé,2015,8,27671659.0
2303501,03,Grande Fortaleza,2015,8,15345623.0
2303709,03,Grande Fortaleza,2015,8,2493838.0
2304103,12,Sertão dos Crateús,2015,8,31972837.0
2304202,01,Cariri,2015,8,32386567.0
2304285,03,Grande Fortaleza,2015,8,1886410.0
2304400,03,Grande Fortaleza,2015,8,4717387417.0
2304707,05,Litoral Norte,2015,8,30675674.0
2305233,03,Grande Fortaleza,2015,8,3982453.0
2305506,02,Centro Sul,2015,8,51211124.0
2306306,06,Litoral Oeste / Vale do Curu,2015,8,0.0
2306405,06,Litoral Oeste / Vale do Curu,2015,8,69362785.0
2306900,14,Vale do Jaguaribe,2015,8,21853593.0
2307304,01,Cariri,2015,8,77986187.0
2307502,01,Cariri,2015,8,20410998.0
2307601,14,Vale do Jaguaribe,2015,8,33334586.0
2307650,03,Grande Fortaleza,2015,8,124584850.0
2307700,03,Grande Fortaleza,2015,8,3504993.0
2308500,09,Sertão Central,2015,8,13678770.0
2309300,12,Sertão dos Crateús,2015,8,28583590.0
2309607,03,Grande Fortaleza,2015,8,23056972.0
2311306,09,Sertão Central,2015,8,25340437.0
2311405,09,Sertão Central,2015,8,9637893.0
2311801,14,Vale do Jaguaribe,2015,8,787550.0
2312205,12,Sertão dos Crateús,2015,8,2453214.0
2312304,08,Serra da Ibiapaba,2015,8,22268874.0
2312908,11,Sertão de Sobral,2015,8,82944122.0
2313302,13,Sertão dos Inhamuns,2015,8,16179829.0
2313401,08,Serra da Ibiapaba,2015,8,24809961.0
2314102,08,Serra da Ibiapaba,2015,8,1163339.0
2300200,05,Litoral Norte,2015,9,8889582.0
2300309,02,Centro Sul,2015,9,8357744.0
2301000,03,Grande Fortaleza,2015,9,1534974.0
2301109,04,Litoral Leste,2015,9,39444122.0
2301901,01,Cariri,2015,9,24960208.0
2302107,07,Maciço do Baturité,2015,9,24797507.0
2302404,10,Sertão de Canindé,2015,9,16819584.0
2302503,01,Cariri,2015,9,27687674.0
2302701,01,Cariri,2015,9,14813390.0
2302800,10,Sertão de Canindé,2015,9,27816143.0
2303501,03,Grande Fortaleza,2015,9,15008691.0
2303709,03,Grande Fortaleza,2015,9,2582137.0
2304103,12,Sertão dos Crateús,2015,9,31249071.0
2304202,01,Cariri,2015,9,32596744.0
2304285,03,Grande Fortaleza,2015,9,3084165.0
2304400,03,Grande Fortaleza,2015,9,5134641228.0
2304707,05,Litoral Norte,2015,9,29794945.0
2305233,03,Grande Fortaleza,2015,9,4276354.0
2305506,02,Centro Sul,2015,9,50440783.0
2306306,06,Litoral Oeste / Vale do Curu,2015,9,0.0
2306405,06,Litoral Oeste / Vale do Curu,2015,9,68585765.0
2306900,14,Vale do Jaguaribe,2015,9,21818608.0
2307304,01,Cariri,2015,9,79175212.0
2307502,01,Cariri,2015,9,20532094.0
2307601,14,Vale do Jaguaribe,2015,9,32664709.0
2307650,03,Grande Fortaleza,2015,9,125134407.0
2307700,03,Grande Fortaleza,2015,9,3488808.0
2308500,09,Sertão Central,2015,9,13476489.0
2309300,12,Sertão dos Crateús,2015,9,28108131.0
2309607,03,Grande Fortaleza,2015,9,22658205.0
2311306,09,Sertão Central,2015,9,25570548.0
2311405,09,Sertão Central,2015,9,9652423.0
2311801,14,Vale do Jaguaribe,2015,9,962544.0
2312205,12,Sertão dos Crateús,2015,9,2809995.0
2312304,08,Serra da Ibiapaba,2015,9,22148272.0
2312908,11,Sertão de Sobral,2015,9,81228286.0
2313302,13,Sertão dos Inhamuns,2015,9,15792253.0
2313401,08,Serra da Ibiapaba,2015,9,25629765.0
2314102,08,Serra da Ibiapaba,2015,9,1154921.0
2300200,05,Litoral Norte,2015,10,9180356.0
2300309,02,Centro Sul,2015,10,8307156.0
2301000,03,Grande Fortaleza,2015,10,1975810.0
2301109,04,Litoral Leste,2015,10,38835224.0
2301901,01,Cariri,2015,10,25062570.0
2302107,07,Maciço do Baturité,2015,10,24664128.0
2302404,10,Sertão de Canindé,2015,10,17149243.0
2302503,01,Cariri,2015,10,27807867.0
2302701,01,Cariri,2015,10,14907889.0
2302800,10,Sertão de Canindé,2015,10,26970549.0
2303501,03,Grande Fortaleza,2015,10,14163267.0
2303709,03,Grande Fortaleza,2015,10,2711502.0
2304103,12,Sertão dos Crateús,2015,10,29829392.0
2304202,01,Cariri,2015,10,32938609.0
2304285,03,Grande Fortaleza,2015,10,3084942.0
2304400,03,Grande Fortaleza,2015,10,4765877730.0
2304707,05,Litoral Norte,2015,10,29244784.0
2305233,03,Grande Fortaleza,2015,10,5067790.0
2305506,02,Centro Sul,2015,10,50089437.0
2306306,06,Litoral Oeste / Vale do Curu,2015,10,2.0
2306405,06,Litoral Oeste / Vale do Curu,2015,10,67590081.0
