cod_ibge,ano,mes,bnb_operacoes_credito_total,bnb_emprestimos_titulos_descontados,bnb_financiamentos,bnb_financiamentos_rurais_agricultura,bnb_financiamentos_agroindustriais,bnb_financiamentos_imobiliarios,credito_bnb_total
2312304,2015,4,21066153.0,17113142.0,1747540.0,2055880.0,0.0,0.0,21066153.0
2312908,2015,4,74952992.0,57437567.0,10921829.0,232629.0,0.0,0.0,74952992.0
2313302,2015,4,16792487.0,14076170.0,1365120.0,1704.0,43159.0,0.0,16792487.0
2313401,2015,4,24570134.0,18090303.0,4452428.0,980809.0,0.0,0.0,24570134.0
2314102,2015,4,1239222.0,827617.0,391809.0,0.0,0.0,0.0,1239222.0
2300200,2015,5,8434184.0,5225924.0,3083870.0,0.0,0.0,0.0,8434184.0
2300309,2015,5,8087603.0,6879307.0,917392.0,0.0,0.0,0.0,8087603.0
2301000,2015,5,1244558.0,1021025.0,203009.0,0.0,0.0,0.0,1244558.0
2301109,2015,5,36715253.0,23087579.0,2677775.0,1496746.0,0.0,0.0,36715253.0
2301901,2015,5,25651638.0,22582254.0,2882926.0,0.0,0.0,0.0,25651638.0
2302107,2015,5,23288643.0,17315066.0,1348079.0,2979163.0,206600.0,0.0,23288643.0
2302404,2015,5,16193319.0,12171085.0,1634080.0,152729.0,0.0,0.0,16193319.0
2302503,2015,5,27878198.0,22123872.0,2611021.0,1331782.0,0.0,0.0,27878198.0
2302701,2015,5,14882308.0,11396896.0,778980.0,25853.0,0.0,0.0,14882308.0
2302800,2015,5,27652933.0,23329708.0,1847385.0,36376.0,0.0,0.0,27652933.0
2303501,2015,5,14168981.0,12644182.0,1471939.0,0.0,0.0,0.0,14168981.0
2303709,2015,5,2192148.0,1164596.0,942111.0,0.0,0.0,0.0,2192148.0
2304103,2015,5,31561187.0,24124086.0,2687963.0,62054.0,0.0,0.0,31561187.0
2304202,2015,5,31209376.0,21848140.0,3458965.0,567096.0,0.0,0.0,31209376.0
2304285,2015,5,1299962.0,1003044.0,249112.0,0.0,0.0,0.0,1299962.0
2304400,2015,5,4330190786.0,637268631.0,809437180.0,13472601.0,0.0,677591823.0,4330190786.0
2304707,2015,5,28739401.0,25002475.0,3398143.0,223246.0,0.0,0.0,28739401.0
2305233,2015,5,2920563.0,1400960.0,1426511.0,0.0,0.0,0.0,2920563.0
2305506,2015,5,50455928.0,37960474.0,5252638.0,760351.0,0.0,0.0,50455928.0
2306306,2015,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306405,2015,5,65415254.0,52109938.0,8276378.0,1096948.0,0.0,0.0,65415254.0
2306900,2015,5,20259732.0,14998761.0,1930984.0,823050.0,0.0,0.0,20259732.0
2307304,2015,5,74294955.0,56493990.0,13144471.0,140865.0,0.0,0.0,74294955.0
2307502,2015,5,20229060.0,7924374.0,727693.0,2230986.0,0.0,0.0,20229060.0
2307601,2015,5,32923774.0,22253256.0,6093290.0,2873145.0,433929.0,0.0,32923774.0
2307650,2015,5,114150604.0,81777478.0,31957400.0,147897.0,0.0,0.0,114150604.0
2307700,2015,5,2776178.0,1029528.0,1677279.0,0.0,0.0,0.0,2776178.0
2308500,2015,5,13573498.0,10614337.0,1323407.0,2585.0,0.0,0.0,13573498.0
2309300,2015,5,28666129.0,23152436.0,2366156.0,382348.0,0.0,0.0,28666129.0
2309607,2015,5,6827527.0,3787011.0,3022680.0,0.0,0.0,0.0,6827527.0
2311306,2015,5,24703604.0,17053181.0,2618047.0,1227353.0,398859.0,0.0,24703604.0
2311405,2015,5,10131638.0,7221321.0,688742.0,49228.0,0.0,0.0,10131638.0
